Country,Counties,"Malaria cases (per 100,000 people)"
Kenya,National Average,14475.0
Kenya,Baringo,28051.0
Kenya,Bomet,19962.0
Kenya,Bungoma,24506.0
Kenya,Busia,77510.0
Kenya,Elgeiyo-Marakwet,25528.0
Kenya,Embu,34122.0
Kenya,Garissa,4769.0
Kenya,Homa Bay,44668.0
Kenya,Isiolo,29850.0
Kenya,Kajiado,20442.0
Kenya,Kakamega,37295.0
Kenya,Kericho,29122.0
Kenya,Kiambu,4457.0
Kenya,Kilifi,20297.0
Kenya,Kirinyaga,6723.0
Kenya,Kisii,23205.0
Kenya,Kisumu,41752.0
Kenya,Kitui,30126.0
Kenya,Kwale,30166.0
Kenya,Laikipia,12164.0
Kenya,Lamu,24403.0
Kenya,Machakos,16459.0
Kenya,Makueni,22042.0
Kenya,Mandera,2495.0
Kenya,Marsabit,8952.0
Kenya,Meru,32549.0
Kenya,Migori,40440.0
Kenya,Mombasa,16609.0
Kenya,Murang'a,2824.0
Kenya,Nairobi,4601.0
Kenya,Nakuru,20639.0
Kenya,Nandi,31012.0
Kenya,Narok,12230.0
Kenya,Nyamira,17722.0
Kenya,Nyandarua,5281.0
Kenya,Nyeri,543.0
Kenya,Samburu,18461.0
Kenya,Siaya,57462.0
Kenya,Taita Taveta,57462.0
Kenya,Tana River,15243.0
Kenya,Tharaka - Nithi,52833.0
Kenya,Trans Nzoia,18053.0
Kenya,Turkana,18923.0
Kenya,Uasin Gishu,23028.0
Kenya,Vihiga,36704.0
Kenya,Wajir,5125.0
Kenya,West Pokot,24880.0
